Konsulentrolle,Rollekategori,Kompetansekrav,Erfaringskrav,Konsulentegenskaper,Kundenavn,Bransje,Årstall
Prosjektleder for anskaffelse av sak-/arkivsystem,Prosjektledelse,"Erfaring med offentlige anskaffelser, SSA-T og SSA-V prosedyrer",Tidligere erfaring med prosjektledelse innen offentlige anskaffelser,Evne til å forhandle og gjennomføre evaluering,Helse Nord RHF,Helse,2016
Rådgiver for faglig rådgivning på systemets funksjon,Rådgivning teknisk,"Kunnskap om NOARK 5-systemer, funksjon, plattform, sikkerhet",Erfaring fra lignende teknisk rådgivning,"Teknisk forståelse, rådgivningsevner",Helse Nord RHF,Helse,2016
"Kvalitetssikring av Nytt, modernisert Folkeregister",Offentlig kvalitetssikring,,,,Finansdepartementet,Offentlig og stat,2016
Management for Hire – Group CIO,Midlertidig lederrolle,"Erfaring med utarbeidelse og implementering av IT-strategi, ledelse på konsernnivå, innføring av IT-styringsmodeller.","Erfaring med ledelse av nyopprettet enhet, håndtering av business cases, forhandlinger og anskaffelser av IT-tjenester.",Evne til å bistå forretningssiden med prosessautomatisering og reduksjon av manuelle rutiner.,Recover Nordic Danmark,Handel og industri,2016
Prosjektleder OOS – Ny plattform for SOB,Prosjektledelse,,,,Ruter,Offentlig og stat,2016
Prosjektleder for HR-detaljprosjekt,Prosjektledelse,"Systemunderstøttelse innen HR, personal og lønn, beste praksis tilnærming","Erfaring med å kartlegge behov for systemunderstøttelse, utarbeide prosjektplaner og koordinere prosjektaktiviteter",Evne til å koordinere prosjektaktiviteter og utarbeide dokumentasjon,Hias IKS,Kommuner,2017
Program- og prosjektleder for IT sikkerhetsprogrammet,Programledelse,Kunnskap om programledelse og IT-sikkerhet,Erfaring med program- og prosjektledelse innen IT-sikkerhet,Evne til å lede store IT-sikkerhetsprosjekter,Norges Bank,Bank og forsikring,2017
Kursholder i Endringsledelse,Kurs og opplæring,ACMP Standard for endringsledelse,"Erfarne endringsledere som ønsker å videreutvikle, systematisere og dokumentere sin kompetanse i endringsledelse",Strukturert metodeverk,Holte Academy,Handel og industri,2017
Kvalitetssikrer for NVDB Referansesystem,Offentlig kvalitetssikring,,,,,,2017
Prosjektleder for strategiske prosjekter,Prosjektledelse,,"Prosjektleder for konseptfasen av strategiske prosjekter, utarbeidelse av beslutningsunderlag, herunder gevinstidentifisering, kostnadsestimering, prosjektbegrunnelse og prosjektbeskrivelse.",,Lørenskog kommune,Kommuner,2017
Prosjektleder Kjernejournal,Prosjektledelse,Ukjent,Ukjent,Ukjent,Direktoratet for e-helse,Helse,2017
Prosjektleder for implementering av satsing på barn og ungdom,Prosjektledelse,,,,"Oslo kommune, bydel Stovner",Kommuner,2017
Leder av porteføljekontoret,Prosjektledelse,,,,"Oslo kommune, bydel Stovner",Kommuner,2017
Rådgivning innen styring og kommunikasjon,Rådgivning teknisk,,,,"Oslo kommune, bydel Stovner",Kommuner,2017
Rådgiver og Prosjektleder,Prosjektledelse,"Erfaring med IT-sourcing-strategi, organisering og oppbygging av IT-funksjoner","Erfaring med RFP- og avtaleprosesser, samt forhandlingsledelse","Ikke spesifisert, antar at forhandlings- og lederegenskaper er viktig",Vipps AS,Bank og forsikring,2017
Prosjektleder,Prosjektledelse,,,,Arbeidstilsynet,Offentlig og stat,2017
Prosjektleder ELISE,Prosjektledelse,"Smidig utvikling, brukerhistorier, prosjektveivisen, Power-plattformen til Microsoft",Erfaring med konseptutvikling og prosjektgjennomføring innen digitale samhandlingsløsninger,"Evne til å lede og koordinere komplekse prosjektløp, involvere operativt personell i utvikling, og sikre gevinstrealisering","Oslo kommune, Sykehjemsetaten",Kommuner,2018
Prosessdriver for HR-løsning,Prosessledelse og fasilitering,Erfaring med kvalitetssikring av konkurransegrunnlag og kravspesifikasjoner,"Erfaring med planlegging og gjennomføring av arbeidsmøter, samt ferdigstillelse av konkurransegrunnlag",Evne til å være prosessdriver og sikre ferdigstillelse,Ruter AS,Offentlig og stat,2018
Prosjektleder for arbeid med Arbeidstilsynets organisering,Rådgivning forretning,,,,Arbeidstilsynet,Offentlig og stat,2018
Delprosjektleder administrative systemer,Prosjektledelse,"Kjennskap til IKT-systemer for kommunesammenslåing, erfaring med Unit4 Business World",Erfaring med ledelse av IKT prosjekter i kommunesammenslåing,"Evne til å sikre nødvendig datakvalitet, kompetanse i prosjektledelse",Drammen kommune,Kommuner,2018
Rådgivning krav / dekning,Rådgivning teknisk,,,,Eika Forsikring,Bank og forsikring,2018
Kommersielle betingelser / forhandlingsleder,Rådgivning forretning,,,,Eika Forsikring,Bank og forsikring,2018
Prosjektleder for EPJ-løftet,Prosjektledelse,"Utvikling av IKT-verktøy for pasientbehandling, samhandling og informasjonsformidling, konseptutvikling og anskaffelsesmetodikk.","Erfaring med styringsdokumenter, prosjektplanlegging, risikohåndtering, økonomiske oversikter, og nyanskaffelser i helsesektoren.",Koordinerende og resultatfokusert.,Direktoratet for e-helse,Helse,2018
Gevinstrealisering for ISOP,Prosjektledelse,Utarbeide grunnlagsdokumentasjon for gevinstrealiseringsarbeidet,Erfaring med DFØs veileder for gevinstrealisering og APMGs rammeverk,,Helse Sør-Øst RHF,Helse,2018
Kvalitetssikring av MADS-prosjektet,Offentlig kvalitetssikring,Virksomhetsarkitektur og modenhetsmodeller,"Erfaring med IKT reglementet, Prosjektveiviseren og styring og gjennomføring av prosjekter",,"Oslo kommune, bydel Stovner",Kommuner,2018
Løsningsarkitekt for Identitets- og tilgangsstyring ISOP,Virksomhetsarkitektur,Erfaring med IAM løsning og tjenesteutvikling,"Erfaring med å bistå i prosjekt innen tilgangsstyring, krav og dokumentasjon","Kunne levere arkitekturrådgivning, dokumentasjon og krav/støtte til leverandører",Helse Sør-Øst RHF,Helse,2018
Oppbygging av virksomheten for Norsk Gjeldsinformasjon AS,Prosjektledelse,"Rådgivning, planlegging, og gjennomføring; prosjektledelse; forretningsutvikling; etablering av kundeavtaler og IT-utviklingsavtaler/driftsavtaler; administrative prosesser",Utvikling av IT-løsninger; etablering av administrative løsninger; økonomiske analyser; compliance; risikovurderinger; personvern,"Evne til å bistå i markedsføring, salg, forhandlinger og kontraktsarbeid; dialog med finansforetak og offentlige interessenter",Norsk Gjeldsinformasjon AS,Bank og forsikring,2018
Tjenestedesigner for Ny i Lørenskog,Rådgivning forretning,"Kompetanse i tjenestedesign, digitalisering, og utvikling av metodikk for tjenesteutvikling.","Erfaring med å jobbe i kommuner eller med kommunale prosjekter, samt erfaring med brukerorienterte løsninger og kommunes tjenester.","Evne til å forstå og gruppere behov og forventninger fra ulike livsfaser, samt evne til å strømlinjeforme prosesser.",Lørenskog kommune,Kommuner,2018
Prosjektleder for ny skadeløsning,Prosjektledelse,"Tilbudsprosess, kravspesifisering, kjernesystemer",,,Sparebank1 Forsikring,Bank og forsikring,2018
Kvalitetssikrer for ny skadeløsning,Offentlig kvalitetssikring,"Tilbudsprosess, kravspesifisering, kjernesystemer",,,Sparebank1 Forsikring,Bank og forsikring,2018
Program Manager for IT Transformation (ONE_IT),Prosjektledelse,,,,Santander Consumer Bank AS,Bank og forsikring,2018
Prosjektleder for ANPR-prosjektet,Prosjektledelse,"Kunnskap om prosjektledelse, risikoanalyse, GDPR-analyse, etablere planer og metodikk, testledelse","Erfaring med vurdering av anbud og valg av leverandør, koordinering med ulike aktører, internasjonale leverandørkonstellasjoner","Evne til oppfølging, evne til koordinering, analytiske egenskaper",Tolldirektoratet,Offentlig og stat,2018
Prosjektleder for anskaffelser,Prosjektledelse,"Innkjøpsfaglig rådgivning, rådgivning innenfor valg av teknologi og arkitektur, planlegging av anskaffelser og utarbeidelse av anskaffelsesstrategi.","Erfaring med rådgivning, kvalitetssikring og praktisk gjennomføring av anskaffelser.",Evne til å sikre fremdrift og gjennomføring i henhold til regelverket for offentlige anskaffelser.,Arkivverket,Offentlig og stat,2018
Prosjektleder - MADS,Prosjektledelse,"Utarbeide forslag til mandat, oppdragsbeskrivelser og presentasjoner",,,"Oslo kommune, bydel Stovner",Kommuner,2018
Prosjektleder EPJ-løftet,Prosjektledelse,,,,Direktoratet for e-helse,Helse,ukjent
Prosjektleder fusjon Eika Banker,Prosjektledelse,,,,Eika Gruppen AS,Bank og forsikring,2018
Hovedprosjektleder for IKT-prosjektet,Prosjektledelse,"Jira, PRINCE2, Prosjektveiviseren, ITIL",,,Drammen kommune,Kommuner,2018
Delprosjektleder for administrative systemer,Prosjektledelse,,,,Drammen kommune,Kommuner,2018
Delprosjektleder for tekniske systemer,Prosjektledelse,,,,Drammen kommune,Kommuner,2018
Kommunikasjonsansvarlig,Rådgivning forretning,,,,Drammen kommune,Kommuner,2018
Kvalitetssikring av moderniseringsprogrammet,Offentlig kvalitetssikring,Kunnskap om konseptvalgutredning og prosjektveiviseren,"Erfaring med kvalitetssikring av store moderniseringsprogrammer, erfaring med prosjekter involverende IT-porteføljen",,Statistisk Sentralbyrå,Offentlig og stat,2018
Prosjektleder for NoPeK-prosjekt,Prosjektledelse,Kompetanse i utarbeidelse av funksjonelle krav og kommersielle forhold,Erfaring fra prosjektledelse og rådgivning,,SpareBank1 Forsikring,Bank og forsikring,2019
Rådgiver for Kunnskapsportalprosjektet,Rådgivning teknisk,Kunnskap om utvikling av styrende dokumentasjon og anskaffelsesprosesser,Erfaring med bistand til anskaffelsesprosess og prosjektledelse,God i å lede interne prosjektressurser og rapportere til styringsgruppen,Senter for oljevern og marint miljø,Offentlig og stat,2019
Prosjektleder for Kunnskapsportal,Prosjektledelse,"Kunnskap om utvikling av styrende dokumentasjon, smidig prosjektmetodikk og kjennskap til Difi prosjektveilederen","Etablering og oppfølging av prosjektplan, erfaringsoverføring, og anskaffelsesprosess","Forbedre rapportering til styringsgruppen, bidra til erfaringsoverføring og etablere prosjektplan",Senter for oljevern og marint miljø,Offentlig og stat,2019
Prosjektmedarbeider innen forvaltningsrevisjon,Prosjektledelse,Ingen spesifikke krav beskrevet,"Erfaring med planlegging, gjennomføring og rapportering av forvaltningsrevisjonsprosjekter",Ingen spesifikke egenskaper beskrevet,"Oslo kommune, Kommunerevisjonen",Kommuner,2019
Prosjektleder innen forvaltningsrevisjon,Prosjektledelse,"Kompetanse innen utredning og analyse, evaluering, og standard for forvaltningsrevisjon RSK001","Erfaring med planlegging, gjennomføring og rapportering av forvaltningsrevisjonsprosjekter",Ingen spesifikke egenskaper beskrevet,"Oslo kommune, Kommunerevisjonen",Kommuner,2019
Kommunikasjonsansvarlig i prosjektet,Prosjektledelse,,,,Drammen kommune,Kommuner,2019
Prosjektstøtte til prosjektleder,Prosjektledelse,,,,Drammen kommune,Kommuner,2019
Implementer av ny økonomimodell,Økonomi og analyse,"Statens økonomireglement, Activity Based Costing, fullkostregnskap, Excel","Erfaring med implementering av ny økonomimodell, budsjettering og prognoser",,Direktoratet for e-helse,Helse,2019
Operativ controller,Økonomi og analyse,"Statens økonomireglement, budsjettarbeid, prognoser, Excel","Erfaring med budsjettarbeid, prognoser og regnskapsarbeid",,Direktoratet for e-helse,Helse,2019
Opplæringsprogram for digital kompetanse,Kurs og opplæring,Kompetanse i utvikling av interaksjonsbaserte læringsløsninger og digital kompetanse,Erfaring med å utnytte teknologi for styrking av digital kompetanse,Engasjerende og moderne pedagogiske ferdigheter,Oljedirektoratet,Offentlig og stat,2019
Ekstern kvalitetsikrer for Minerva,Offentlig kvalitetssikring,"Kunnskap om Datalake og Data Mesh teknologier, erfaring med private cloud løsninger, kunnskap om Prosjektveiviseren, smidig Prince2 og SCRUM.","Erfaring med kvalitetssikring av prosjekter, erfaring fra offentlig sektor.","Risikobasert tilnærming, analytiske ferdigheter, god på samhandling og kommunikasjon.",Skatteetaten,Offentlig og stat,2019
Prosjektleder for forprosjekt for ny nordisk IT-løsning for søknadshåndtering og CRM,Prosjektledelse,,,,Santander Consumer Bank AS,Bank og forsikring,2019
Funksjonell arkitekt i EDiT programmet,Løsningsarkitektur,,,,Helsedirektoratet,Helse,2019
Programkontor-leder/assisterende programleder for ISOP PMO,Programledelse,"Erfaring med styring og prioritering av ressurser, kunnskap om prosjektveiviseren, PRINCE2, MSP, Managing Benefits, MS Office, Clarity PPM.","Erfaring med å bistå programleder med prosjektkontroll, gevinstrealisering og endringsledelse.","Gode lederegenskaper, evne til å etablere og vedlikeholde rutiner og prosesser.",Helse Sør-Øst RHF,Helse,2019
Prosjektledelse – kontanthåndtering i normalsituasjonen,Prosjektledelse,,,,Bits AS,Bank og forsikring,2019
Ekstern kvalitetssikrer,Offentlig kvalitetssikring,Må gjennomføre nødvendige gjennomganger og samtaler for selvstendig vurdering,Erfaring med kvalitetssikring av prosjektprosesser og styringsdokumenter,Evne til å holde løpende dialog og gi direkte tilbakemeldinger,Statens vegvesen,Offentlig og stat,2019
Prosjektleder for DiffIT – virksomhetskritiske systemer,Prosjektledelse,,,,Norges Bank,Bank og forsikring,2019
Programleder for Program Kodeverk og Terminologi (PKT),Programledelse,Tverrfaglig ekspertise innen nasjonal e-helseportefølje og programledelse.,Erfaring med programledelse i tett dialog med E-helse sin programeier og ledelsen i Helseplattformen.,"Evne til å støtte ulike team, legge forholdene til rette for eierskap, og bidra til høy kvalitet og attraktivitet av Felles språk.",Direktoratet for e-helse,Helse,2019
Prosessleder terminologi i EPJ,Prosessledelse og fasilitering,"Konsulenten må ha erfaring med helsefaglige kodeverk og terminologier, spesielt SNOMED CT, og med prosessledelse i helse-relaterte prosjekter.",Konsulenten må ha erfaring i ledelse og styring av prosjekter samt erfaring med teamledelse og kommunikasjon i helsesektoren.,Konsulenten må ha gode evner til samarbeid og kvalitetssikring samt evne til å etablere prosesser og metodikker.,Direktoratet for e-helse,Helse,2019
Prosjekt-/prosessleder Digital modenhet,Prosessledelse og fasilitering,"Digital kompetanse, Prosessledelse, Endringsledelse",,,Lånekassen,Offentlig og stat,2019
Prosjektleder MF Helse kommune,Prosjektledelse,Koordinere arbeidet med overgang til nytt folkeregister og innrapportering av dødsfall digitalt.,Erfaring med prosjektledelse for planlegging og innføring av elektroniske løsninger i helsesektoren.,Samarbeide i tett dialog med KS og helsetjenester i kommunene.,Direktoratet for e-helse,Helse,2019
Kursansvarlig for virksomhetsarkitektur,Kurs og opplæring,Kompetanse i å utvikle og lede kurs i virksomhetsarkitektur for ledere,Erfaring med å utarbeide kurs basert på definerte og prioriterte læringsmål og caser,Evne til å bygge forståelse hos ledere og deltakerne i virksomhetsarkitektur,"Oslo kommune, bydel Stovner",Kommuner,2019
Prosess- og prosjektlederstøtte,Prosjektledelse,Utvikling av arkitektur innen velferdsteknologi i henhold til nasjonale arkitekturprinsipper,Erfaring med integrasjon mellom velferdsteknologiske løsninger og elektroniske pasientjournaler,,Direktoratet for e-helse,Helse,2019
Porteføljestyring konsulent,Rådgivning forretning,"Kunnskap om MoP-rammeverket, MSP, Prosjektveiviseren, samt ferdigheter i MS Excel, Word, PowerPoint","Erfaring med utvikling av porteføljestyring, rapportering, prioritering, balansering, planlegging, økonomistyring, gevinststyring, leverandørstyring og finansiering",,Direktoratet for e-helse,Helse,2019
Prosjektleder og rådgiver for anskaffelse av driftstjeneste,Rådgivning forretning,,,,Vipps AS,Bank og forsikring,2019
Virksomhetsarkitekt,Virksomhetsarkitektur,"Kompetanse i GDPR, Compliance, datadrevne strategier og styring av IT-prosjekter.","Erfaring med dataplattformer, avansert analyse, styring av arkitekturfunksjoner og interimledelse i IT-avdelingen.","Evne til å prioritere, lede evalueringsprosesser, og styre implementering.",Morrow Bank ASA,Bank og forsikring,2019
Sjefsarkitekt og leder av arkitekturavdelingen,Virksomhetsarkitektur,"Strategisk styring horisont 3-4 år, ledelse av workshops, effektiviserings- og digitaliseringsbehov.",Erfaring med utredning av hurtigproduksjon og automatisering.,Evne til å lede strategisk arbeid og workshops på tvers av forretningssiden.,Morrow Bank ASA,Bank og forsikring,2019
Leder for avdeling for kjernedata og datavarehus,Rådgivning teknisk,Kjennskap til ny strategi- og datasystemer.,"Utvikling av løsninger, større systembytter og omlegginger.",Evne til å etablere strategier og utføre systemendringer.,Morrow Bank ASA,Bank og forsikring,2019
Prosjektleder for prosjekt ‘Haptic’,Prosjektledelse,"Styring av migrasjonsprosjekter, kunnskap om kjernesystemer.",Erfaring med kjernesystemmigrering på kort tid.,Selvstendig ledelse og koordinering av komplekse prosjekter.,Morrow Bank ASA,Bank og forsikring,2019
Virksomhetsarkitekt,Virksomhetsarkitektur,"Kompetanse innen GDPR, dataforvaltning, IT-arkitektur og strategisk styring.","Erfaring med implementering av data-plattform, styring av arkitekturfunksjon og interim ledelse.","Evne til å prioritere IT-arbeid, lede strategiske prosjekter og koordinere avdelinger.",Morrow Bank ASA,Bank og forsikring,2019
Prosjektleder for 'REX',Prosjektledelse,Strategisk prosjektledelse og evne til prosessjustering og automatisering.,Erfaring med å lede prosjekter innen bankproduktutvikling.,Evne til å sikre utvikling og produksjonssetting av nye produkter innen streng tidsramme.,Morrow Bank ASA,Bank og forsikring,2019
Prosjektleder for 'Haptic',Prosjektledelse,Kompetanse innen migrering av kundedata mellom banksystemer.,Erfaring med kompliserte migreringsprosesser og systembytter.,Evne til å styre kritiske prosjekter med snever tidsramme og få på plass nødvendige løsninger.,Morrow Bank ASA,Bank og forsikring,2019
Prosjektleder for utvikling av styringssystem,Prosjektledelse,"Utvikling av helhetlig IT styringssystem, kartlegging av systemer, harmonisering av styringsmodeller",Evne til å fasilitere utviklingsprosesser og kompetanseoverføring i organisasjonen,"Analytisk, god kommunikasjonsevne, evne til å lede komplekse prosesser",OsloMet,Offentlig og stat,2020
Rådgiver for prosjektoppfølging,Rådgivning teknisk,"Rådgivning, kvalitetssikring, prosjektstyring, eierstyring, risikostyring, statens prosjektmodell, statlig kvalitetssikringsordning","Erfaring med å gjennomgå og vurdere saksmateriale, utarbeide rapporter til departementer, delta i formøter og oppfølgingsforum","Evne til å gi løpende uavhengige vurderinger, råd og anbefalinger",Finansdepartementet,Offentlig og stat,2020
Prosjektleder CSDR søknadsprosessen,Prosjektledelse,"Kunnskap om EU-reguleringen Central Securities Depositories Regulation (CSDR), erfaring med å utarbeide autorisasjonssøknader.","Erfaring som prosjektleder i komplekse prosjekter, erfaring med periodisk rapportering.",God på samarbeid med ledelse og eksterne parter.,Verdipapirsentralen,Bank og forsikring,2020
Scrum master CSDR Reconciliation,Lede agilt team,"Erfaring med smidig metodikk og scrum, samt implementering av IT-systemer.",Erfaring som scrum master i IT-prosjekter.,Evne til å lede og motivere team.,Verdipapirsentralen,Bank og forsikring,2020
Seniorkonsulent for programstyring,Programledelse,Må ha erfaring med programstyring og være i stand til å bidra i konseptutvikling og kartlegging for programmet.,Bistått med rådgivning innenfor programstyring og endringsledelse.,Må være en pådriver for endringsledelse og ha evne til å etablere godt samarbeid.,OsloMet,Offentlig utdanning,2020
Ekstern kvalitetssikrer BRsys,Offentlig kvalitetssikring,"Kompetanse i smidig metodikk, R108/23 Statens prosjektmodell, prosjekt- og programmetodikk som Scrum og MOP, samt kjennskap til TOGAF, ISO 9001, ISO 27001.",Erfaring med kvalitetssikring i statlige prosjekter.,"Evne til å lede kvalitetsrevisjoner, utføre usikkerhetsanalyser og anbefale tiltak for styring.",Brønnøysundregistrene,Offentlig og stat,2020
Funksjonell arkitekt Fremtidens kjernesystem,Løsningsarkitektur,"Analyse og design av funksjonelle løsninger for produkt, prosess og aktuarielle beregninger.","Ledelse av funksjonell strøm, verifikasjon av systemkapabiliteter, rådgiver til prosjektleder.",Evne til å lede og fasilitere prosesser og interne workshops.,Sparebank1 Forsikring,Bank og forsikring,2020
Prosjektstøtte i utprøving av PLL,Prosjektledelse,"Kompetanse i endringsledelse, opplæring og helsefag",,,Norsk Helsenett SF,Helse,2020
Prosjektstøtte IT Service Management,Lede agilt team,"Kunnskap om IT Service Management, fasilitering av teamprosesser, teknisk oppsett av Service Management portal.","Erfaring med prosjektstøtte, styringsgruppemøter, og endringsaktiviteter.","Organisatoriske ferdigheter, kommunikasjonsferdigheter, evne til å fasilitere samhandling.",Santander,Bank og forsikring,2020
Administrativ støtte på tvers av prosjekter,Administrativ støtte,"Kunne administrere og kvalitetssikre dokumentasjon, sette opp accounting memos.",Erfaring med prosjektregnskap og kostnadsprognoser.,"Detaljorientert, strukturerte arbeidsvaner, analytisk.",Santander,Bank og forsikring,2020
Forarbeid migrering av Sharepoint 2013 on-prem,Prosjektledelse,"Kunnskap om migrering fra on-prem til Office 365, evne til å organisere og fasilitere prosjekter.",Erfaring med prosjektledelse og samarbeid med eksterne partnere.,"Evne til å fasilitere samarbeid, struktureringsferdigheter.",Santander,Bank og forsikring,2020
Prosjektleder for konseptvalgutredning IKT,Prosjektledelse,"Utarbeidelse og ledelse av konseptvalgutredninger, strategisk rådgivning innen IKT modernisering",Erfaring med statlige prosjektmodeller og digitaliseringsprosjekter i offentlig sektor,,Utlendingsdirektoratet - UDI,Offentlig og stat,2020
Intern kvalitetssikrer for KS1 Vegforbindelser øst for Oslo,Offentlig kvalitetssikring,Kunnskap om kvalitetssikring av konseptvalgutredninger for store statlige prosjekter,Erfaring med kvalitetssikring av offentlige prosjekter,,Finansdepartementet,Offentlig og stat,2020
Analytiker for KS1 Vegforbindelser øst for Oslo,Økonomi og analyse,Støtte i gjennomgang av grunnleggende forutsetninger i KVU,Erfaring med analyse i forbindelse med offentlig kvalitetssikring,,Finansdepartementet,Offentlig og stat,2020
Assisterende programleder for Helse Sør-Øst,Programledelse,"Evne til å etablere gode rutiner for planlegging, styring, rapportering og økonomisk oppfølging på programnivå.","Erfaring med å etablere og vedlikeholde programplaner, milepælsplaner, samt håndtere interessentanalyse og kommunikasjonsplan.","God på koordinering, informasjonsflyt, og oppfølging av fremdrift og avvik. Må ha gode samarbeids- og kommunikasjonsevner.",Helse Sør-Øst RHF,Helse,2020
Digitaliseringsrådgiver og agile coach,Lede agilt team,"Erfaring med prosjektmetodikk, digitalisering, og agil coaching samt kjennskap til Prosjektveiviseren.no",Erfaring med implementering av prosjektmetodikk og ledelse av digitaliseringsprosjekter,"Agil coaching, godt samarbeid, lede utviklingstiltak, kontinuerlig forbedring, team-building, fasilitering av møter",LO (Landsorganisasjonen i Norge),Handel og industri,2020
Operativ prosjektleder,Prosjektledelse,Erfaring med prosjektledelse innen digitaliseringsprosjekter,Erfaring med gjennomføring av prosjekter og ivaretakelse av personvern,"Operativ ledelse, ivaretagelse av personvern, oppfølging av metodikk",LO (Landsorganisasjonen i Norge),Handel og industri,2020
Områdeleder for samhandling,Prosessledelse og fasilitering,,,,Norsk Helsenett SF,Helse,2020
Områdeprodukteier HelseID,Produkt- og tjenesteansvar,"Produktstrategi, leveranseplaner, risikohåndtering, samhandling med produktansvarlige og samarbeidspartnere",Erfaring med oppfølging av produktstrategi og utviklingsplaner i helsesektoren,"Proaktiv, evne til å håndtere risiko og eskalere problemer, samarbeidsevne",Norsk Helsenett SF,Helse,2020
Operativ produktansvarlig (PA) for dagens grunndataplattform,Produkt- og tjenesteansvar,,,,Direktoratet for e-helse,Helse,2020
Prosjektleder GDPR,Prosjektledelse,,,,Santander,Bank og forsikring,2020
Produktansvarlig for HelseID,Produkt- og tjenesteansvar,,,,Norsk Helsenett SF,Helse,2020
Prosjekt- og prosessleder for OU-prosjekt,Prosjektledelse,"Struktur, metodikk og faglig ekspertise innen prosjektledelse","Erfaring med å implementere prosjektledelse i digital samhandling og håndtere faglige synergier, samarbeidsformer og endringer i organisasjonsstruktur","Evne til å sikre samhandling, engasjement og kvalitet i digital prosjektgjennomføring samt høy grad av involvering og kommunikasjon",Direktoratet for økonomistyring,Offentlig og stat,2020
Prosjektleder - sikker bruk av digitale tjenester,Prosjektledelse,,,,Bits AS,Bank og forsikring,2020
Prosjektleder ny smittesporings-app,Prosjektledelse,"Erfaren prosjektleder, god teknisk innsikt, løsningsorientert, utnytte metodikk pragmatisk, sikre forankring.","Erfaring med ledelse av utviklings-, utredning- og anskaffelsesprosjekter, samt analyser, utredninger, testledelse og endringsledelse.","Selvgående, strukturert, produktiv, liker varierte oppgaver.",Folkehelseinstituttet,Helse,2020
Samfunnsøkonom i PMO,Økonomi og analyse,"Spesialisert kompetanse i samfunnsøkonomisk analyse og gevinstrealisering, inkludert rådgivningsevner og formuleringsevner.","Erfaring med komplekse områder med mange interessenter og prosessledelse, inkludert teamledelse for kompetanseteam.","Gode evner til prosesshåndtering, kommunikasjon og forankring, og til å håndtere ledere hos kunden.",Direktoratet for e-helse,Helse,2020
Prosjektleder for SB1 IT – Webadferd 2020,Prosjektledelse,Kompetanse til å etablere løsning for å kunne logge kundeadferd på nettsider,,,Sparebank 1 Utvikling,Bank og forsikring,2020
Teamleder RuterSalg og RuterKontroll,Prosjektledelse,"Smidig metodikk, DevOps-prinsipper, teknologi rådgivning innen Ruters digitale plattform.",Bred erfaring med ledelse av team innen utvikling og forvaltning av IT løsninger.,"Evne til å lede team, skape felles forståelse av krav og brukerhistorier, konstruktiv dialog.",Ruter AS,Offentlig og stat,2020
